"HGNC.symbol","GSM3440214","GSM3440217","GSM3440222","GSM3440223","GSM3440224"
"AADACL2",2.62532,2.3896,2.86688,2.08868,2.36473
"AADACL2-AS1",2.77772,3.33483,3.36766,3.23106,3.3676
"ABCA12",2.6614,3.00407,2.64405,2.6699,2.84131
"ABCA7",6.35779,6.34359,5.97029,5.56318,6.29603
"ABCC2",4.63136,4.19308,4.3938,4.34381,4.37602
"ABCF1",6.11254,5.83626071428571,6.08051285714286,5.94662785714286,6.03891785714286
"ABHD1",3.1498,2.84254,3.23656,3.17018,3.54428
"ABHD12",5.57025,5.22533,5.47301,5.48028,5.35142
"ABHD16A",5.64242142857143,5.58253571428571,5.67234285714286,5.43830857142857,5.47910428571429
"ABHD17AP6",8.21152,7.997195,8.08317,8.241185,8.3637
"ABHD17B",5.94699,5.71891,5.88982,5.68449,5.95467
"ABHD3",7.33766,7.19756,7.28144,6.44361,6.92265
"ABHD6",5.54653,5.41596,5.5076,5.3401,5.40604
"ABR",7.8015,7.62879,7.71268,7.0186,7.4672
"ACADSB",5.06892,4.96946,5.2492,5.50642,5.18445
"ACAT1",4.3113,3.94591,3.87963,4.0811,3.97799
"ACER2",4.55319,4.44323,4.27772,4.32977,4.63767
"ACER3",5.13214,4.91777,5.0291,4.96952,4.92792
"ACSL3",6.34821,5.96417,6.11378,5.69963,6.14448
"ACTC1",1.63171,2.17092,1.70583,1.80177,2.41937
"ACTL6B",3.3654,3.33303,3.22816,3.23495,3.522
"ACVR2A",4.67094,3.87024,4.14579,4.40658,4.12029
"ACYP1",3.41773,3.06407,3.06774,3.58589,3.30969
"ADA2",7.6176,6.9566,7.35907,6.86183,7.17726
"ADAM17",7.31237,6.8915,7.11312,6.83823,7.1537
"ADAM6",4.35555,4.61882,4.46627,4.57977,4.81205
"ADAMTS19",3.33334,4.08684,3.70612,3.95845,4.08528
"ADAMTS19-AS1",3.62982,3.77772,3.80006,3.74644,3.93588
"ADAMTS7P1",5.1696825,5.1011575,4.95425,4.9811425,4.9268225
"ADAP1",5.95887,5.50153,5.56095,5.37104,5.71657
"ADCY9",5.11126,5.03991,5.17881,5.12745,5.22282
"ADGRG4",2.70561,2.70515,2.84196,2.84352,2.69627
"ADORA2B",5.82354,6.33378,6.07358,6.19651,6.13418
"AFF2",5.18639,5.25422,5.00282,4.90364,4.68214
"AFF2-IT1",3.02021,3.10677,2.62091,2.73681,2.31289
"AGAP10P",8.36357,8.2957,8.46458,8.39046,8.13071
"AGAP4",7.931335,7.85134,8.01881,7.958615,7.73695
"AGER",6.14085666666667,6.27844,6.17336666666667,5.95165333333333,6.18770666666667
"AGFG2",6.22134,5.96849,5.90056,6.43973,6.11727
"AGK",5.74624,5.34692,5.52728,5.96555,5.43023
"AGTPBP1",7.80271,7.71431,7.76458,7.53099,7.72931
"AIFM1",5.38671,5.24557,5.47537,5.40446,5.42748
"AIRE",3.88594,4.25993,4.148,4.29142,4.55231
"AKAP11",6.13106,5.60762,5.81016,6.08659,6.00092
"AKAP17A",5.09979,5.05979,4.96051,4.91044,5.00042
"ALAS1",7.07341,6.80379,6.86842,6.59092,6.94047
"ALDH1B1",5.28807,4.71316,4.83299,4.95131,4.97229
"ALDH3B1",6.77214,7.06333,6.70478,6.28598,6.53941
"ALDH3B2",4.17024,4.36463,3.99137,4.10927,3.99632
"ALG1L8P",5.08259,4.80311,4.97463,5.20935,5.02101
"ALKBH4",4.35036,4.81419,4.52951,4.87004,4.78385
"ALKBH6",5.41789,5.26242,5.05399,4.95901,5.2125
"ALKBH8",4.7177,4.52608,4.64344,4.99593,4.92757
"ALOX12",6.60042,5.71584,5.25647,5.69341,5.37433
"ALOX12-AS1",5.45448,5.14365,5.099765,5.30963,5.361785
"ALOX12P2",3.55712333333333,3.64263666666667,3.32839,3.2078,3.63755
"ALOX5",9.09984,8.99218,8.95492,8.25915,9.01222
"ALPK2",2.49367,2.63793,2.63811,2.37045,2.63091
"AMBN",3.58541,3.02919,3.52837,3.57952,3.48815
"AMELY",1.9147,2.4463,2.28281,2.52637,2.43553
"AMER1",4.31813,4.09992,3.9618,4.32301,4.13785
"AMPH",3.65605,3.66448,3.82612,3.80767,3.4512
"AMTN",2.14116,2.03156,2.04742,2.09064,2.7096
"ANAPC1P1",5.217145,5.37283,5.499375,5.809525,5.64075
"ANAPC4",5.12495,4.97014,4.811,5.1535,4.88093
"ANGPTL4",5.13793,4.83569,5.11783,5.02308,5.41995
"ANK1",6.22635,6.31835,5.98531,6.386895,6.124445
