"HGNC.symbol","GSM3440229","GSM3440230"
"AADACL2",2.81322,2.2342
"AADACL2-AS1",3.53312,3.27438
"ABCA12",2.86502,2.73433
"ABCA7",6.27028,6.17666
"ABCC2",4.34982,4.27079
"ABCF1",5.822845,6.05888857142857
"ABHD1",3.32841,3.29198
"ABHD12",5.26647,5.35479
"ABHD16A",5.39922714285714,5.43612285714286
"ABHD17AP6",7.934815,8.415835
"ABHD17B",5.19809,5.99498
"ABHD3",6.75088,7.09827
"ABHD6",5.12429,5.40634
"ABR",7.32652,7.50672
"ACADSB",4.18065,5.41456
"ACAT1",3.27165,3.73261
"ACER2",4.22052,4.24012
"ACER3",4.11292,5.06616
"ACSL3",5.45491,5.81941
"ACTC1",1.85658,1.81861
"ACTL6B",3.34322,3.29692
"ACVR2A",3.4993,4.38061
"ACYP1",2.59032,4.15002
"ADA2",6.82331,7.22099
"ADAM17",6.66317,7.05069
"ADAM6",4.91622,4.4471
"ADAMTS19",3.78033,3.54366
"ADAMTS19-AS1",3.86801,3.46868
"ADAMTS7P1",5.4732875,4.69228
"ADAP1",5.75463,5.66377
"ADCY9",4.84404,5.13231
"ADGRG4",3.20941,2.95725
"ADORA2B",6.10954,5.66023
"AFF2",4.86442,4.99162
"AFF2-IT1",2.61936,2.91372
"AGAP10P",8.41212,8.34593
"AGAP4",7.9303875,8.02345
"AGER",6.11351,6.21675666666667
"AGFG2",5.37603,6.60766
"AGK",5.13055,5.68864
"AGTPBP1",7.40898,7.62034
"AIFM1",5.15278,5.58464
"AIRE",4.58074,4.17698
"AKAP11",5.29903,6.05582
"AKAP17A",5.06179,5.04187
"ALAS1",6.74207,7.13433
"ALDH1B1",5.01379,4.93657
"ALDH3B1",7.02724,6.50417
"ALDH3B2",4.46393,3.80047
"ALG1L8P",5.56155,4.85121
"ALKBH4",4.75594,4.49989
"ALKBH6",4.75809,5.48774
"ALKBH8",4.32335,4.92554
"ALOX12",4.57548,5.05381
"ALOX12-AS1",5.12484,5.349485
"ALOX12P2",3.58617,3.55198
"ALOX5",8.99344,8.9013
"ALPK2",2.82035,2.51912
"AMBN",3.91562,2.91794
"AMELY",2.95562,2.50273
"AMER1",3.98474,4.2485
"AMPH",3.70777,3.82583
"AMTN",2.76018,2.14241
"ANAPC1P1",5.22188,5.6317
"ANAPC4",4.05156,5.22958
"ANGPTL4",5.03807,4.77529
"ANK1",5.607935,5.977715
"ANK3",4.60258,5.80554
"ANKAR",3.45853,4.08531
"ANKDD1B",2.39453,2.27538666666667
"ANKLE1",4.86976,4.73615
"ANKRA2",4.22574,5.23413
"ANKRD18A",5.01433,5.00428
"ANKRD2",4.90444,4.60376
"ANKRD20A2",4.61067,4.6215
"ANKRD22",3.50085,4.4063
"ANKRD30A",1.93428,2.15512
"ANKRD30BP2",3.73497,2.94906
"ANKRD33B",5.76735,5.32529
"ANKRD33B-AS1",3.78862,3.1525
"ANKRD34B",3.7966,3.42765
"ANKRD44",8.41988,8.64957
"ANKRD44-IT1",6.77813,7.94603
"ANKRD54",5.03537333333333,4.90088333333333
"ANKRD55",4.58836,4.78445
"ANKRD62",1.71688,1.56029
"ANKRD62P1-PARP4P3",1.57527,1.55049
"ANKRD63",5.35276,4.99618
"ANO1",4.31855,3.68108
"ANO1-AS1",4.55836,4.25634
"ANO9",5.38673,5.78185
"ANP32AP1",3.20166,2.44068
"AP1S3",3.10667,3.22546
"AP3B2",4.46935,4.33016
"AP3M1",6.70906,7.24729
"APBB2",5.132225,4.76985
"APEX1",5.69187,6.7836
"APOL5",2.70107,1.69596
"AQP7",4.000365,3.691525
"AQR",6.11763,7.03622
"ARAP1",7.42411,7.4585
"ARAP1-AS1",5.23015,5.15001
"ARAP1-AS2",3.84216,4.10017
"ARFGEF1",7.083,7.43065
"ARG1",4.89707,4.99833
"ARGFXP2",2.36005,1.83288
"ARHGAP11A",3.64586,3.84911
"ARHGAP15",7.35681,7.56041
"ARHGAP18",4.45885,5.49614
"ARHGAP21",3.97409,4.60303
"ARHGAP25",8.962,8.95213
"ARHGEF10",4.04292,3.89231
"ARHGEF12",5.9545,6.3433
"ARHGEF18",6.84767,7.43471
"ARHGEF6",7.6242,8.27579
"ARID3B",6.60424,6.75529
"ARID4A",6.50774,7.09291
"ARL4A",4.01465,4.46439
"ARL5B",5.71429,6.21715
"ARMC10",4.683475,5.63712
"ARMC2",5.18452,5.50239
"ARMC2-AS1",1.15555,1.64414
"ARMH3",5.40642,6.51643
"ARPC2",8.31034,8.56104
"ARPP19",6.49767,7.07986
"ARRDC2",5.50511,5.88762
"ARRDC3",9.30934,9.06658
"ARRDC3-AS1",3.45935,3.69015
"ARSD",5.58804,5.58241
"ARSD-AS1",3.8879,4.02954
"ARSE",3.04677,2.82159
"ARSJ",2.1128,2.27908
"ART1",4.44127,3.98276
"ART5",3.88716,3.83389
"ARVCF",5.51457,4.98966
"ARX",4.96171,5.02005
"ASB12",2.84797,2.67153
"ASB2",4.24673,3.82118
"ASB4",2.89173,3.11482
"ASCC2",8.0013,8.55221
"ASF1A",5.99322,6.72909
"ASMT",5.44417,5.28377
"ASNSD1",4.76048,5.27247
"ATL1",3.88729,3.76536
"ATM",7.58472,8.23518
"ATP10B",3.86867,3.61931
"ATP11A",5.388825,6.12593
"ATP11A-AS1",4.74887,4.08387
"ATP11AUN",4.00505,3.64048
"ATP5F1D",7.22398,7.99535
"ATP5MD",4.43085,5.33005
"ATP5ME",5.82298,5.88376
"ATP5PF",4.06807,4.967
"ATP6V0D2",1.75479,1.43116
"ATP8B5P",4.176444,3.713836
"ATRAID",5.81416,6.09795
"ATXN3",4.66024,5.104445
"ATXN3L",2.15105,2.06634
"AUH",4.93401,5.68143
"AUP1",7.0778,7.69605
"AVL9",6.62614,7.10065
"AVPI1",5.0507,4.87844
"B3GAT3",4.81174,5.28899
"B3GNT3",3.73496,3.85109
"B3GNT6",5.09417,4.83581
"B4GALT1",7.86509,8.10076
"B4GALT1-AS1",3.84171,4.37177
"B4GALT6",3.80774,4.27042
"BABAM1",6.61684,7.40363
"BACE1",4.85929,4.57379
"BAG1",5.28314,6.22101
"BAGE2",5.86511875,5.78501375
"BAIAP3",5.40739,5.10035
"BARX1",5.38624,4.94809
"BARX1-DT",5.28717,4.65603
"BATF",5.69513,6.03093
"BAZ1A",8.4086,8.29369
"BAZ1B",6.05831,6.87932
