"HGNC.symbol","GSM3440226","GSM3440227","GSM3440228","GSM3440231"
"AADACL2",2.32586,2.23494,2.26184,2.80743
"AADACL2-AS1",3.23878,3.23136,3.17806,3.30084
"ABCA12",2.42548,2.93958,2.64706,2.36607
"ABCA7",6.34774,6.16899,6.19565,6.15528
"ABCC2",4.43583,4.60054,4.62219,4.52973
"ABCF1",6.05145071428571,5.99456142857143,6.11052142857143,6.19872357142857
"ABHD1",2.89567,3.26027,3.40147,3.43764
"ABHD12",5.52276,5.67618,5.65007,5.47585
"ABHD16A",5.67062857142857,5.60024,5.73550857142857,5.81622571428571
"ABHD17AP6",8.464735,8.524885,8.21672,8.49243
"ABHD17B",5.92839,5.85961,5.83819,5.94807
"ABHD3",6.8027,6.65182,6.76184,6.86425
"ABHD6",5.49906,5.4838,5.65249,5.52403
"ABR",7.69602,7.72017,7.47933,7.34138
"ACADSB",5.78855,5.61365,5.13685,5.59957
"ACAT1",4.25637,3.82619,4.36862,4.60124
"ACER2",4.67273,3.88377,4.53211,4.44871
"ACER3",5.39871,4.83759,5.07478,5.32577
"ACSL3",6.05871,6.03902,5.81527,6.02972
"ACTC1",1.87909,1.79469,2.10682,1.79573
"ACTL6B",3.31207,3.31493,2.93558,3.21763
"ACVR2A",4.51202,4.21587,4.93996,4.54867
"ACYP1",4.20141,3.75921,3.7536,3.63276
"ADA2",7.29774,6.99103,7.70795,7.53657
"ADAM17",7.17606,7.09125,7.25825,7.16309
"ADAM6",4.21236,4.45255,4.19247,4.34284
"ADAMTS19",3.33245,3.72192,3.58832,3.37463
"ADAMTS19-AS1",3.28395,4.03164,3.99511,3.62606
"ADAMTS7P1",4.996625,5.1522125,5.187565,4.812325
"ADAP1",5.67349,5.69384,5.62904,5.80264
"ADCY9",5.28248,5.47548,4.95697,5.32124
"ADGRG4",2.63979,2.85504,2.78614,2.5527
"ADORA2B",5.69997,6.18807,5.85722,5.99386
"AFF2",5.11574,4.89909,4.95987,4.88354
"AFF2-IT1",2.64677,2.45392,2.43028,2.6659
"AGAP10P",8.32113,7.95969,8.26318,8.38197
