"HGNC.symbol","GSM3440208","GSM3440209","GSM3440210","GSM3440211","GSM3440212","GSM3440213","GSM3440215","GSM3440216","GSM3440218","GSM3440219","GSM3440220","GSM3440221","GSM3440225"
"AADACL2",2.04788,2.64804,2.14318,2.41116,2.42236,2.3827,2.19841,2.41878,2.41014,2.30307,2.32607,2.39218,2.26106
"AADACL2-AS1",2.51269,2.82064,3.08296,3.46017,3.19854,3.13703,3.13918,2.84163,3.40534,3.13432,3.25081,3.85689,3.72597
"ABCA12",2.63427,2.65912,2.51756,2.77345,2.72335,2.72961,2.88609,2.37908,2.60718,2.57576,2.54632,2.49976,2.62265
"ABCA7",6.71204,6.01884,5.91926,5.88161,5.70267,5.69406,6.24623,5.86087,6.23256,6.3,6.28544,6.0121,6.01035
"ABCC2",4.60985,4.15119,4.53079,4.3388,4.52382,4.36856,4.95503,4.58497,4.41692,4.21717,4.52519,4.15773,4.69887
"ABCF1",5.91321214285714,5.95975857142857,5.71005285714286,5.96230142857143,5.76257,6.04602642857143,5.71519,5.76243857142857,6.03084,6.05658642857143,5.84490214285714,5.80231857142857,6.14376642857143
"ABHD1",3.23037,3.33021,2.85879,2.71279,3.07568,3.03211,3.16505,3.0959,3.24359,3.34936,3.18369,2.98532,3.50785
"ABHD12",5.47082,5.62946,5.44328,5.40148,5.23474,5.5319,5.28486,5.54377,5.62449,5.52602,5.40027,5.38929,5.42942
"ABHD16A",5.61264428571429,5.36073857142857,5.29443857142857,5.28750142857143,5.55232428571429,5.57515285714286,5.63097428571429,5.83298857142857,5.59414428571429,5.68366714285714,5.60148857142857,5.50309285714286,5.65582571428571
"ABHD17AP6",8.120485,8.15785,8.01632,8.36939,7.89339,8.408085,7.83509,8.40679,8.303955,8.296305,8.34623,8.503185,8.19691
"ABHD17B",5.97571,5.94834,6.42705,5.81116,6.09393,5.95745,5.94753,5.93218,5.80948,6.28492,5.92277,6.00043,5.91789
"ABHD3",7.28709,6.86335,6.57808,6.39146,6.88581,6.67395,7.66343,7.00521,6.84095,6.67851,7.04304,6.66612,7.02135
"ABHD6",5.54871,5.1842,5.42974,5.54241,5.09257,5.25059,5.58376,5.41445,5.48347,5.60772,5.56714,5.32297,5.45516
"ABR",7.6787,7.30008,7.13076,7.2939,7.22974,7.45886,7.56747,7.62122,7.5441,7.55449,7.65657,7.57487,7.46325
"ACADSB",5.30872,5.33211,6.11129,5.50063,5.20177,5.67564,5.1089,5.2386,5.34562,5.32159,5.63696,5.4207,4.65587
"ACAT1",4.12632,3.89287,4.81683,4.02636,3.95383,4.20432,4.10312,4.10026,3.8705,4.04577,3.51199,4.30089,3.89959
"ACER2",4.21634,4.54816,4.32604,4.25723,4.02635,4.49414,4.27372,4.37571,4.32228,3.95495,4.6259,4.24159,4.15534
"ACER3",5.23415,5.17497,5.62654,5.54021,5.264,5.0644,5.10208,5.41565,5.16667,5.11754,5.06623,5.00599,4.86324
"ACSL3",5.992,6.12509,6.26153,5.9175,6.15862,5.93612,6.17868,6.31389,6.17507,6.00784,6.16752,6.04084,5.80827
"ACTC1",1.59362,1.89882,1.58076,1.63073,1.38551,1.27416,1.55827,1.68353,1.79165,1.96064,2.39168,1.6482,1.91946
"ACTL6B",3.3166,3.279,2.87896,3.05361,3.29652,3.10319,3.34251,3.11451,3.34564,3.55223,3.42116,3.15458,3.42545
"ACVR2A",4.34381,4.28768,5.14426,4.62738,4.20344,4.56901,3.97183,4.74054,4.30836,4.19213,4.44726,4.54354,3.98244
"ACYP1",3.61991,3.63215,4.34718,3.69915,3.30392,3.89783,3.40138,3.96074,3.82631,3.6911,3.46781,3.70416,3.55936
"ADA2",7.334,6.90272,7.33101,7.50971,7.23694,7.4605,7.50135,7.75571,7.55786,7.56832,7.60586,7.22024,7.34133
"ADAM17",7.17231,6.98876,7.20733,7.0154,7.59917,6.98417,7.14242,7.33945,7.04012,6.78277,7.17566,6.95989,6.87268
"ADAM6",4.24715,4.40919,4.16649,4.45375,4.23242,4.55322,4.49444,4.27009,4.33391,4.65792,4.44507,4.45978,4.62134
"ADAMTS19",3.41209,3.76984,3.55947,4.08119,3.66826,3.56024,3.86401,3.53517,3.60896,3.65381,3.65012,3.73985,3.68071
"ADAMTS19-AS1",3.67997,3.60979,3.6193,4.25947,3.61204,3.84202,3.68524,3.5903,3.94528,3.7379,3.51362,3.26656,4.21847
